model,tag,accuracy,precision_macro,recall_macro,f1_macro,recall_fault,auc_roc,avg_precision
rf,original,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp,original,0.9982143920004761,0.9831460674157304,0.9990590301737657,0.9909576433863763,1.0,0.9999831500752047,0.999690500979378
svm,original,0.9932146896018094,0.9414784394250513,0.9964243146603099,0.967126134211309,1.0,0.9999092584136562,0.9984552867760257
lr,original,0.9606571037438247,0.7828769919758043,0.9710168528425313,0.8488458611774444,0.9825581395348837,0.9950699016577116,0.9853344392203494
