model,tag,accuracy,precision_macro,recall_macro,f1_macro,recall_fault,auc_roc,avg_precision
rf,processed,0.9999404797333492,0.9999686756045608,0.9994047619047619,0.9996865410043303,0.9988095238095238,1.0,1.0
mlp,processed,0.9996428784000952,0.9998121124819941,0.9964285714285714,0.9981139238914798,0.9928571428571429,0.9999995524806,0.9999915569064506
lr,processed,0.9960121421343968,0.9630650496141124,0.9979011340141595,0.9797726299325875,1.0,1.0,1.0
svm,processed,0.9957145408011427,0.9605263157894737,0.9977445022241714,0.9783217565213651,1.0,1.0,1.0
