model,tag,accuracy,precision_macro,recall_macro,f1_macro,recall_fault,auc_roc,avg_precision
rf,processed_guard,0.9999404797333492,0.9999686756045608,0.9994047619047619,0.9996865410043303,0.9988095238095238,1.0,1.0
mlp,processed_guard,0.9996428784000952,0.9964539007092199,0.9998120418520142,0.9981266438279488,1.0,1.0,1.0
svm,processed_guard,0.9958335813344443,0.9615384615384616,0.9978071549401666,0.9789011679015447,1.0,1.0,1.0
lr,processed_guard,0.9952978989345872,0.9570184983677911,0.9975252177181881,0.9763035981126632,1.0,1.0,1.0
